名字,粉丝数,文章数量,国家,简介,详情页的url,图片url
肌肤之钥 clé de Peau Beauté,3.9万,5.5万,日本,品牌名来自法语'一把美丽肌肤的钥匙'。殿堂级品牌，以优质的肌肤护理及彩妆理念，帮助肌肤自身优化，展现简约高贵的妆容。,https://www.xiaohongshu.com/page/brands/5a4384978000862471d15b7b,http://ci.xiaohongshu.com/d633b8f7-d426-41ba-ad8a-7a11ed129d27
MICHAEL KORS 迈克高仕,1.7万,2.7万,美国,MICHAEL KORS 以其设计师名字命名，1981年创立于美国，产品涵盖男女成衣、手袋、鞋履、配饰、腕表、香氛，以及女士珠宝。品牌始终致力于传递精致的 JET SET 生活态度。,https://www.xiaohongshu.com/page/brands/5a4384858000862471d144ba,http://ci.xiaohongshu.com/31c60412-0277-46e4-b499-93b5713a36b7
珂莱欧 CLIO,2502,9267,韩国,珂莱欧将多年专业的彩妆经验，创新性的融入高品质的产品中，让各肤质类型和各年龄段的人群都能轻松搞定如专业彩妆师级别精致妆容，打造更时髦的都市女性；菲丽菲拉针对妙龄少女，提供更具时尚潮流、个性化需求的魅力彩妆；果达儿专注寻找对肌肤有益的自然原料，研究改善肌肤的配方让皮肤更活力健康。,https://www.xiaohongshu.com/page/brands/5a43849a8000862471d1600f,http://ci.xiaohongshu.com/0285c6ad-e8c8-400d-865f-02b233d87d55
圣罗兰 Saint Laurent,8.8万,10.1万,法国,Saint Laurent的设计始终充满危险与神秘的诱惑力，自由大胆，引领当下潮流。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d143a9,http://ci.xiaohongshu.com/807cf462-270c-499b-99c9-b98f2b5ab37d
乐敦 Rohto,331,8175,日本,乐敦是曼秀雷敦药业有限公司旗下的日本国民品牌，有“专业护眼专家”之称。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1401e,http://ci.xiaohongshu.com/de57880b-c8b6-498e-a3b3-719fa8a5746c
MCM,7299,1.8万,德国,来自德国的奢侈皮具品牌，明星街拍出镜率超高，已经成为潮人的时尚风向标。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140e9,http://ci.xiaohongshu.com/09fb13db-2d51-47d4-94a0-74919c39ac3d
蒂佳婷 Dr.Jart+,5.2万,1.1万,韩国,Dr.Jart+是来自韩国的药妆品牌，同时也是韩国的BB霜始祖。品牌寓意为”Dr.”与”art”相结合，把理性、信任的专业背景与感性、热情、快乐的护肤艺术相融合。,https://www.xiaohongshu.com/page/brands/5a4384948000862471d15791,http://ci.xiaohongshu.com/f7065d4b-cda5-4d5f-86f1-3114cae235cf
苏秘37° su:m37°,3.2万,8978,韩国,LG生活健康旗下的护肤品牌，设有单独的自然发酵研究所，拥有生命，真诚，等待的品牌哲学。配合风、水、空气和自然的韵律，在37°的恒温中自然发酵出温和安心的护肤产品，多个系列满足不同肤质不同年龄层的需求。,https://www.xiaohongshu.com/page/brands/5a43849b8000862471d16064,http://ci.xiaohongshu.com/bd5e9997-3073-4dc4-aed7-4ca5f9974595
汤丽柏琦 Tory Burch,4750,1.4万,美国,美国轻奢品牌，充满个性的设计广受欢迎。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15acd,http://ci.xiaohongshu.com/ddf98aab-2761-4fcd-b29a-333f940ac927
膳魔师 THERMOS,16,6519,德国,1904年在德国创立，因为优越的保温性能，已经成为保温瓶全球通用的称呼，更是保温容器的始祖哦。材质轻便好携带，又非常耐用。不论是充满设计感的外观还是保温质量都非常棒，中午的开水晚上喝还烫到嘴，隔天还有余温。,https://www.xiaohongshu.com/page/brands/5a4384a18000862471d16838,http://ci.xiaohongshu.com/e16c520b-7055-4bc7-bbd1-fd0a4b3a8cae
ZARA,2.4万,11.4万,西班牙,"西班牙Inditex集团旗下的服装品牌，深受时尚青年的喜爱，有设计师品牌的优异设计，价格却更为亲民，让平民拥抱高街品牌。凭借一支200多名专业人士的创作团队，设计始终紧跟大众口味。第一家门店于1975年在西班牙拉科鲁尼亚开设，目前已拥有1,900多家店遍布世界87个市场主要城市。",https://www.xiaohongshu.com/page/brands/5a4384888000862471d1493d,http://ci.xiaohongshu.com/0f6b3861-a1c1-424c-83f4-e8b9b7644e71
娜斯 NARS,6.5万,4.6万,美国,来自美国的专业彩妆品牌，包装是经典的黑色，加上个性的Logo来表现品牌的极简精神。不管在色彩的运用还是产品的创意上都相当时尚，是欧美明星大爱的彩妆品牌哟~,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d1644c,http://ci.xiaohongshu.com/6fbb4627-bafa-4c13-9882-1548a282c19e
祖·玛珑 Jo Malone London,4.2万,2.5万,英国,英国知名品牌祖马龙JO MALONE，属于雅诗兰黛集团，其香水以简单而纯粹的特质受到诸多的明星喜爱。简约别致的包装，透露着浓厚的英伦风情。,https://www.xiaohongshu.com/page/brands/5a4384978000862471d15b6a,http://ci.xiaohongshu.com/affd2a39-5e98-4a43-b63b-88b04409c9e7
施华洛世奇 SWAROVSKI,3.4万,3.2万,奥地利,创始于1895年，致力于为你创造闪耀时刻,https://www.xiaohongshu.com/page/brands/5a4384908000862471d15394,http://ci.xiaohongshu.com/48b7c233-9400-4dc2-b97e-f4dc86351239
美宝莲 Maybelline,15.8万,1.8万,美国,美宝莲纽约，是闪耀纽约精神的彩妆品牌。一百多年前，美国化学家Tomas Williams为了让妹妹Mable拥有迷人双眼，创造出了世界上首支睫毛膏，Maybelline也因爱而生。美宝莲纽约激发所有女性定义自己的美，表达自我和彰显个性。美，就现在！,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d150e6,http://ci.xiaohongshu.com/40e50f6e-7478-4487-a5a2-db44d028286a
星巴克 Starbucks,1.5万,3.3万,美国,星巴克诞生于美国西雅图，靠咖啡豆起家，自1987年正式成立以来一跃成为巨型连锁咖啡集团，其飞速发展的传奇让全球瞩目。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be6,http://ci.xiaohongshu.com/90da521f-862c-4e28-800e-2793d8333953
雪花秀 Sulwhasoo,8.4万,2.7万,韩国,平衡与和谐，是雪花秀追寻的美丽本源。雪花秀于自然中获取智慧，其原料和配方，不仅能精心养护肌肤，调理肌肤内在的平衡，更能滋润心灵，达到自然与人的和谐之美，力求外表与内在的和谐统一。,https://www.xiaohongshu.com/page/brands/5a4384998000862471d15e9c,http://ci.xiaohongshu.com/40ef5fff-6edf-4527-852d-b7a0e873026b
安娜苏 Anna Sui,16,7077,美国,安娜苏是世界著名的时装及彩妆品牌。产品具有极强的迷惑力，无论服装、配件还是彩妆，都能让人感觉到一种抢眼的、近乎妖艳的色彩震撼。,https://www.xiaohongshu.com/page/brands/5a4384878000862471d1484e,http://ci.xiaohongshu.com/3a17ff4e-4712-4df5-9778-af52b4dac5a0
kate spade new york kate spade,4262,8898,美国,kate spade new york 1993年成立于美国纽约，以优雅的格调、摩登的设计、别致的色彩缔造了独具魅力的品牌风格，诠释了乐观积极的现代女性精神。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14114,http://ci.xiaohongshu.com/059ae3da-d213-4df3-bdee-e0344b012ad0
SK-II,7.6万,4.3万,日本,日本高端护肤品牌，以“晶莹剔透”为品牌理念，尤其深受亚洲女性的欢迎。肤精华露、肌源修护精华露、肌源修护精华霜和肌源修护焕采眼霜+逆磁力微导仪是它家的四大王牌。,https://www.xiaohongshu.com/page/brands/5a43849b8000862471d16102,http://ci.xiaohongshu.com/07d23bf2-ece7-48ad-b5e8-56a83cf80411
吉尔斯图尔特 JILL STUART,32,6178,美国,Jill Stuart作为非常少女心的彩妆品牌，甜美可爱的设计风格深受年轻女孩喜爱，四色眼影和腮红都是红薯的爱用彩妆品。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1405a,http://ci.xiaohongshu.com/7fc0148a-e26f-4719-99ba-0cbb2cda515b
希思黎 sisley,6.7万,1.1万,法国,法国高端植物护肤品牌，贵妇品牌中的全能冠军！,https://www.xiaohongshu.com/page/brands/5a43848d8000862471d14ef9,http://ci.xiaohongshu.com/584f3230-83a8-4cfd-871b-7835706aeb8a
Swisse,27.8万,1.8万,澳大利亚,1969年创立于墨尔本的健康食品品牌，被各大网红、名人推荐，且深受明星的欢迎。在选材和产品配方的研发上及其严格，现在产品涵盖了男士、女士复合维生素、膳食补充剂、乃至运动营养、护肤品和功能食品，销售网络拓宽至30多个国家。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d140c7,http://ci.xiaohongshu.com/c643ac7f-e1e1-428f-ab27-a8a16e3b1c63
后 The History of Whoo,5.3万,2.2万,韩国,是属于LG的韩国高端护肤品牌，WHOO后的品牌价值与理念，就是对高品位、高格调之美的追求。奢华的宫廷风格让广大小红薯为之倾心。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d14498,http://ci.xiaohongshu.com/337f624c-1954-4c06-804d-cd34637d4e6f
DHC  ,2.9万,9763,日本,DHC作为日本通信销售化妆品知名品牌，30年来致力于打造天然、温和高效的护肤、彩妆及健康食品。DHC橄榄卸妆油、纯橄情焕采精华油、护唇膏等深受亚洲、乃至全球爱美人士的喜爱！,https://www.xiaohongshu.com/page/brands/5a4384828000862471d141a8,http://ci.xiaohongshu.com/1feb05db-16f6-4bee-b543-d7429bce2364
维多利亚的秘密 Victoria's Secret,1.2万,1.2万,美国,美国知名女性内衣品牌，Victoria's Secret就是性感的象征。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140f9,http://ci.xiaohongshu.com/9d3373b6-d77c-4fc6-87be-3c43635e4073
资生堂 Shiseido,5.6万,6.1万,日本,日本知名的老牌化妆品品牌，从年轻到熟龄，从平价到奢侈，护肤及彩妆系列众多，能够满足不同爱美女性的需求。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d143af,http://ci.xiaohongshu.com/4c36714c-9f7f-4ae3-9132-d1849a35a34b
欧缇丽 CAUDALIE,1.5万,1.5万,法国,1993年欧缇丽诞生于法国，推出了一系列以葡萄藤，葡萄蔓和葡萄萃取物为主要成分的抗衰老护肤产品。以其天然，高效和迷人的品牌文化成为法国及分布世界25个国家的知名天然护肤品牌。,https://www.xiaohongshu.com/page/brands/5a4384908000862471d15398,http://ci.xiaohongshu.com/b396a143-8da4-4a5c-b971-95861e11344e
宝丽 POLA,1483,2万,日本,日本高端化妆品品牌代表之一，有内服保养，洗护个护，及从平价到贵妇的多条护肤线，能够满足不同爱美人士的需求。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be5,http://ci.xiaohongshu.com/9e61b997-7e52-4f36-9c35-5019186bec87
松下 Panasonic,5.8万,8946,日本,日本著名电子产品制造商，口碑很好，种类多样，从影像器材、音箱、磁性记录产品到通讯器材、车载设备、家用电器等方面都有，能够满足小红薯不同的需求，质量很好，非常耐用。,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d163b9,http://ci.xiaohongshu.com/e49cdf33-1fa3-45b0-b80d-77b1c2c6b97d
茵芙莎 IPSA,1万,2万,日本,IPSA是资生堂旗下品牌，独创的水乳合一“自律液”让众多小红薯真正了解自己的皮肤，彩妆也总在cosme大赏上露脸。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d14354,http://ci.xiaohongshu.com/84cf18f8-d5f2-45aa-9a64-0aba4b37a3dd
澳尔滨 ALBION,3956,2万,日本,日本高级护肤品牌，1956年创立以来，无论是研发、试验、品质还是包装，ALBION都以创造艺术品的虔诚精神去完成，为的就是让每一个细节都呈现绝对的完美。独有的护肤理论得到很多消费者的喜爱和拥护，拥有多款大受欢迎的明星产品。,https://www.xiaohongshu.com/page/brands/5a4384948000862471d1580a,http://ci.xiaohongshu.com/acfc25f8-ec25-465e-b00b-798871abbf4c
3CE,7.8万,2.3万,韩国,3CE是STYLENANDA旗下的彩妆品牌，被美国CNN评选韩国十大品牌暨2014年受游客欢迎的潮流品牌。超高性价比从少女系到成熟系的超长跨度成为众多小红薯超爱的彩妆！,https://www.xiaohongshu.com/page/brands/5a43848d8000862471d14efb,http://ci.xiaohongshu.com/25aebecc-743a-419f-bfed-a57c27d900c4
BLACKMORES 澳佳宝,1.9万,8603,澳大利亚,BLACKMORES是澳大利亚的知名保健品品牌，已经有近80年历史啦，不仅在澳洲本土广受信任，在世界各地都有超高人气，对妈妈和宝宝的健康也很关注喔。,https://www.xiaohongshu.com/page/brands/5a4384918000862471d153ab,http://ci.xiaohongshu.com/fd91ee1d-d85d-4c53-b949-b0b928b048b0
伊思 it's skin,3.8万,7802,韩国,It’s skin是韩国三大化妆品公司之一的韩佛公司旗下品牌，获得英国kifus顶级化妆品公司的技术配方支持，以明星单品蜗牛霜火遍亚洲，是红薯们到韩国的必买单品之一。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ad1,http://ci.xiaohongshu.com/7ab8d776-ddc1-4b12-9459-2ccea390c01c
